start,end,text,speaker
0,5," This is a dictation of a medical report, please put that in the medical report,",Speaker 1
5,7, it's in bold at the top of the document.,Speaker 1
7,9," Sliced as reference in bold,",Speaker 1
9,15," capital A, C, C, slash 1, 2, 3, slash 9, 8, 7.",Speaker 1
15,20," Next line, in bold again, instructions from Joe blogs at solicitors.",Speaker 1
20,25," Next line, clients name, in bold, then Chris Smith.",Speaker 1
25,27, Address in bold on the next line.,Speaker 1
27,33," 1, light foot streets, that's L-I-G-H-T-F-O-O-T street,",Speaker 1
33,37, in the whole H-W-L-A-N-G-S-D.,Speaker 1
37,42," Data birthing bold, first of March 1965.",Speaker 1
42,46," Data accident in bold on the next line, 10th of February 2010.",Speaker 1
46,50," Data report on the next line in bold, 15th of April 2010.",Speaker 1
50,53," Next line in bold, review of notes, NONE.",Speaker 1
53,56," Next line in bold, identification, NONE.",Speaker 1
56,59," Next line in bold, occupation, unemployed.",Speaker 1
59,62," First heading is accident in bold and aligned,",Speaker 1
62,65, on the afternoon of the 10th of February.,Speaker 1
65,68, Chris Smith was travelling from Chester to Birmingham in a four-fiesta,Speaker 1
68,71, visit with seatbelts and headress.,Speaker 1
71,74," He was the front seat passenger full stop,",Speaker 1
74,77," without warning, camera, watch, stood suddenly in traffic,",Speaker 1
77,81, another vehicle impacted with the rear of the vehicle.,Speaker 1
81,85, He was travelling in and shunted him into the vehicle in front of full stop.,Speaker 1
86,90," Next paragraph, heading is in bold and aligned again,",Speaker 1
90,93, of movement of clients on impact.,Speaker 1
93,96," He suffered a forced flexion, a stroke extension movement",Speaker 1
96,99," to his neck and back without rotation, full stop.",Speaker 1
99,102," Next heading, bold and aligned again, immediate symptoms.",Speaker 1
102,106," Next line, he immediately had neck and back pain full stop.",Speaker 1
106,110," Next heading, chronological progression of physical symptoms.",Speaker 1
110,114," He went to Countess of Chester, accident in emergency department,",Speaker 1
114,116, and he was examined full stop.,Speaker 1
116,120," No extra he was taken full stop, a whip-lash type injury was diagnosed",Speaker 1
120,123, and he was discharged with advice full stop.,Speaker 1
123,126," New paragraph, the pain in his neck and back was severe",Speaker 1
126,131," for four weeks, comma, interferon with sleep and needing anolabgicis.",Speaker 1
131,133, Which then improved full stop.,Speaker 1
133,135, He had no physiotherapy full stop.,Speaker 1
135,140," Next heading, chronological progression of psychological symptoms.",Speaker 1
140,142," Bold and aligned again, that next line.",Speaker 1
142,147, There have been no psychological symptoms as a consequence of the accident.,Speaker 1
147,151," Next heading, bold and aligned again, current symptoms and treatment.",Speaker 1
151,155," He has pain in his neck on turning, his back pain is now resolved",Speaker 1
155,159, and had done so by the last week in March 2010 full stop.,Speaker 1
159,162," Next heading, bold and aligned again, past medical history.",Speaker 1
162,165," There is no past medical history of no full stop,",Speaker 1
165,167, no previous history of accident full stop.,Speaker 1
167,170," There was no history of stress disorder or depression,",Speaker 1
170,174, no history of muscular skeletal problems full stop.,Speaker 1
174,178," Next heading, bold and aligned, lost consequential to injury.",Speaker 1
178,181," He is only employed full stop, the accident effect,",Speaker 1
181,184, there is ability to go to the gym for one month full stop.,Speaker 1
184,187," Next heading, examination, bold and aligned.",Speaker 1
187,190," Next line, his amount of normal build with a normal gate.",Speaker 1
190,193," Next paragraph, examination of his upper limbs is normal.",Speaker 1
193,198," New paragraph, examination of his cervical spine shows a full range of movement",Speaker 1
198,201, actively and passively in all directions.,Speaker 1
201,204, There is no muscular tenderness full stop.,Speaker 1
204,209," New paragraph, reflection, extension of his lumbar sacral spine is full.",Speaker 1
209,213," Straight leg raising is full, there is no spinal tenderness full stop.",Speaker 1
213,219," There were no other marks, comers, scarred or bruises and no inappropriate responses full stop.",Speaker 1
219,221," Next heading, summary and conclusions.",Speaker 1
221,225," As a result of road traffic accidents on the 10th of February 2010,",Speaker 1
225,230," Christmas, a standard woodlass injury to his cervical spine and lower back spring.",Speaker 1
230,233," New paragraph, the injury sustained, I can't believe it.",Speaker 1
233,238," With the accident, the adverse feature associated with the accident was a double impact full stop.",Speaker 1
238,240," Next paragraph, as a consequence of the accident,",Speaker 1
